"Video_chamber_5 - Counts for TP, FN: Manual Vs JAABA
"
Tuples overlapping with test tuple,"(932, 965)",are:,[]
Tuples overlapping with test tuple,"(3362, 3383)",are:,"[(3312, 3464)]"
Tuples overlapping with test tuple,"(3391, 3402)",are:,"[(3312, 3464)]"
Tuples overlapping with test tuple,"(3414, 3459)",are:,"[(3312, 3464)]"
Tuples overlapping with test tuple,"(3977, 3986)",are:,"[(3973, 3988)]"
Tuples overlapping with test tuple,"(3999, 4019)",are:,"[(3995, 4110)]"
Tuples overlapping with test tuple,"(4876, 5014)",are:,"[(4877, 5009)]"
Tuples overlapping with test tuple,"(5198, 5232)",are:,"[(5200, 5350)]"
Tuples overlapping with test tuple,"(5238, 5284)",are:,"[(5200, 5350)]"
Tuples overlapping with test tuple,"(5286, 5348)",are:,"[(5200, 5350)]"
Tuples overlapping with test tuple,"(5546, 5579)",are:,"[(5527, 5927)]"
Tuples overlapping with test tuple,"(5617, 5850)",are:,"[(5527, 5927)]"
Tuples overlapping with test tuple,"(6926, 6964)",are:,"[(6925, 6965)]"
Tuples overlapping with test tuple,"(6979, 7010)",are:,"[(6976, 7011)]"
Tuples overlapping with test tuple,"(8707, 8781)",are:,"[(8701, 8782)]"
Tuples overlapping with test tuple,"(9079, 9176)",are:,"[(9073, 9171)]"
Tuples overlapping with test tuple,"(9947, 9965)",are:,"[(9936, 9967)]"
Tuples overlapping with test tuple,"(10215, 10297)",are:,"[(10202, 10297)]"
Tuples overlapping with test tuple,"(10446, 10496)",are:,"[(10450, 10497)]"
Tuples overlapping with test tuple,"(10501, 10514)",are:,"[(10503, 10516)]"
Tuples overlapping with test tuple,"(10524, 10537)",are:,[]
Tuples overlapping with test tuple,"(10600, 10675)",are:,"[(10596, 10710)]"
Tuples overlapping with test tuple,"(10678, 10711)",are:,"[(10596, 10710)]"
Tuples overlapping with test tuple,"(11115, 11222)",are:,"[(11130, 11223)]"
Tuples overlapping with test tuple,"(11620, 11731)",are:,"[(11641, 11726)]"
Tuples overlapping with test tuple,"(11917, 11994)",are:,"[(11915, 11991)]"
Tuples overlapping with test tuple,"(12048, 12149)",are:,"[(12028, 12150)]"
Tuples overlapping with test tuple,"(13871, 13955)",are:,"[(13875, 13954)]"
Tuples overlapping with test tuple,"(14143, 14153)",are:,"[(14151, 14252)]"
Tuples overlapping with test tuple,"(14155, 14250)",are:,"[(14151, 14252)]"
Tuples overlapping with test tuple,"(14495, 14536)",are:,"[(14496, 14536)]"
Tuples overlapping with test tuple,"(14725, 14735)",are:,[]
Tuples overlapping with test tuple,"(14743, 14779)",are:,"[(14750, 14783)]"
Tuples overlapping with test tuple,"(15117, 15176)",are:,"[(15116, 15180)]"
Tuples overlapping with test tuple,"(15197, 15238)",are:,"[(15199, 15240)]"
Tuples overlapping with test tuple,"(15437, 15544)",are:,"[(15467, 15607)]"
Tuples overlapping with test tuple,"(15546, 15606)",are:,"[(15467, 15607)]"
Tuples overlapping with test tuple,"(15906, 15985)",are:,"[(15905, 15982)]"
Tuples overlapping with test tuple,"(16182, 16197)",are:,[]
Tuples overlapping with test tuple,"(16204, 16328)",are:,"[(16235, 16328)]"
Tuples overlapping with test tuple,"(16635, 16759)",are:,"[(16657, 16757)]"
Tuples overlapping with test tuple,"(17032, 17068)",are:,[]
Tuples overlapping with test tuple,"(17070, 17150)",are:,"[(17094, 17207)]"
Tuples overlapping with test tuple,"(17157, 17207)",are:,"[(17094, 17207)]"
Tuples overlapping with test tuple,"(17401, 17585)",are:,"[(17471, 17587)]"
Tuples overlapping with test tuple,"(17944, 17986)",are:,"[(17936, 18098)]"
Tuples overlapping with test tuple,"(17996, 18097)",are:,"[(17936, 18098)]"
Tuples overlapping with test tuple,"(18786, 18910)",are:,"[(18800, 18907)]"
Tuples overlapping with test tuple,"(19258, 19553)",are:,"[(19259, 19553)]"
Tuples overlapping with test tuple,"(20005, 20021)",are:,"[(19996, 20025)]"
Tuples overlapping with test tuple,"(20515, 20544)",are:,"[(20504, 20647)]"
Tuples overlapping with test tuple,"(20547, 20584)",are:,"[(20504, 20647)]"
Tuples overlapping with test tuple,"(20588, 20646)",are:,"[(20504, 20647)]"
Tuples overlapping with test tuple,"(20888, 20927)",are:,"[(20885, 20987)]"
Tuples overlapping with test tuple,"(20934, 20990)",are:,"[(20885, 20987)]"
Tuples overlapping with test tuple,"(21182, 21271)",are:,"[(21189, 21270)]"
Tuples overlapping with test tuple,"(21540, 21570)",are:,"[(21541, 21589)]"
Tuples overlapping with test tuple,"(22200, 22231)",are:,"[(22204, 22232)]"
Tuples overlapping with test tuple,"(22335, 22371)",are:,[]
Tuples overlapping with test tuple,"(22379, 22408)",are:,[]
Tuples overlapping with test tuple,"(22701, 22746)",are:,[]
Tuples overlapping with test tuple,"(22756, 22765)",are:,[]
Tuples overlapping with test tuple,"(22767, 22779)",are:,[]
Tuples overlapping with test tuple,"(23002, 23021)",are:,[]
Tuples overlapping with test tuple,"(23435, 23444)",are:,[]
Tuples overlapping with test tuple,"(23485, 23537)",are:,[]
Tuples overlapping with test tuple,"(23784, 23797)",are:,[]
Tuples overlapping with test tuple,"(24711, 24749)",are:,"[(24703, 24767)]"
Tuples overlapping with test tuple,"(24756, 24770)",are:,"[(24703, 24767)]"
Tuples overlapping with test tuple,"(24913, 24961)",are:,"[(24915, 25000)]"
Tuples overlapping with test tuple,"(24964, 25005)",are:,"[(24915, 25000)]"
Tuples overlapping with test tuple,"(25183, 25255)",are:,"[(25181, 25254)]"
Tuples overlapping with test tuple,"(25555, 25616)",are:,"[(25565, 25640)]"
Tuples overlapping with test tuple,"(26314, 26423)",are:,"[(26309, 26424)]"
Tuples overlapping with test tuple,"(26727, 26774)",are:,"[(26724, 26778)]"

Video_chamber_5

True postives,48
False postives,9
False negatives,2
Precision = ,0.8421052631578947
Recall = ,0.96
F1 score = ,0.8971962616822429

True postives for Matebook,46
False postives for Matebook,14
False negatives for Matebook,4
Precision of Matebook =,0.7666666666666667
Recall of Matebook =,0.92
F1 score of Matebook =,0.8363636363636363

"Video_chamber_6 - Counts for TP, FN: Manual Vs JAABA
"

Tuples overlapping with test tuple,"(225, 284)",are:,"[(218, 284)]"
Tuples overlapping with test tuple,"(532, 556)",are:,"[(526, 556)]"
Tuples overlapping with test tuple,"(1437, 1507)",are:,"[(1434, 1506)]"
Tuples overlapping with test tuple,"(1761, 1803)",are:,"[(1757, 1806)]"
Tuples overlapping with test tuple,"(1969, 2026)",are:,"[(1972, 2023)]"
Tuples overlapping with test tuple,"(2404, 2453)",are:,"[(2402, 2454)]"
Tuples overlapping with test tuple,"(2971, 3046)",are:,"[(2966, 3028)]"
Tuples overlapping with test tuple,"(3179, 3262)",are:,"[(3181, 3264)]"
Tuples overlapping with test tuple,"(3522, 3909)",are:,"[(3519, 3908)]"
Tuples overlapping with test tuple,"(3995, 4131)",are:,"[(3993, 4124)]"
Tuples overlapping with test tuple,"(4672, 4809)",are:,"[(4676, 4808)]"
